shipment_id,fuel_cost,labor_cost,misc_cost
dc84cc15,61.08,27.24,20.75
ca536e73,13.74,65.13,17.63
704fa19e,72.68,39.47,16.84
aad8a598,53.69,23.23,33.16
e120d4ba,90.24,107.29,14.73
9ce359e4,82.22,101.82,40.35
b3e4dbad,82.42,137.32,37.71
ce2b8607,46.97,122.04,17.77
ff237e66,20.32,34.88,11.75
a5eb45cd,66.51,50.17,36.02
631b2e4d,99.29,56.84,16.69
88f21080,17.09,40.62,38.4
146af78f,66.92,102.76,18.59
96c9241f,80.08,109.77,23.53
ec3edcbe,55.04,79.31,7.41
be3aa75f,62.5,133.81,48.57
98018c31,77.35,110.73,8.14
5388cb87,83.16,66.43,26.56
75fdeedc,47.4,107.78,45.01
cb35162b,57.82,119.07,19.1
70ab87b1,47.49,46.05,22.07
1da7633b,51.61,28.25,18.0
2f243f84,17.08,30.88,19.44
88d4b5b0,38.38,124.62,20.62
0150806d,43.71,101.64,22.9
b653f428,52.84,133.14,48.38
d4b32ad9,85.56,136.83,10.18
7c6fbf90,22.09,57.17,31.61
b725a531,15.96,57.28,14.54
99bcfa0f,47.67,58.26,49.43
926673ff,21.91,67.52,26.03
5360bd91,28.58,124.93,14.6
f9eb20dd,58.47,141.23,12.75
5ce59627,39.83,86.41,41.14
5c004ed5,97.53,120.9,15.09
faf295ba,63.3,141.83,39.18
d015a3cd,54.12,113.58,33.72
84f5f682,43.78,39.83,34.35
28ea13a6,68.06,145.17,31.83
4d94c023,38.39,79.17,39.28
ae9f5781,90.86,148.29,27.01
5f422c14,40.96,133.64,11.66
d1c61971,67.54,124.54,30.42
a2d83006,21.98,43.77,8.09
f6d3f887,64.76,94.11,43.46
13516238,91.52,126.5,11.71
5a21aa0e,40.96,82.08,22.83
833e5e42,77.91,43.78,17.98
f361c8f4,42.54,99.11,30.12
d9f28eca,47.78,80.07,44.83
14d3046f,40.72,34.22,39.7
02b2783a,67.92,26.89,48.47
eb15d213,83.59,91.89,7.24
4049fcd9,93.54,25.66,8.49
bbcf52a6,94.8,35.08,19.07
5ac419b1,30.13,74.18,46.23
c2554924,20.95,26.12,45.99
a7d4b17b,28.69,44.7,38.33
80b0ddbc,83.93,94.75,35.98
fa78d721,20.15,112.24,28.42
3dcfdc61,89.25,81.72,31.18
84f53ed9,80.52,141.15,16.46
2ddd7be8,22.4,105.86,44.5
356f76ca,10.51,70.72,8.71
8bed37c2,23.84,114.5,49.75
b05d8487,22.11,48.48,39.51
9cd984ee,66.57,93.36,29.71
c3a41111,73.28,129.34,48.56
ed72a077,92.22,38.28,48.03
df262a92,81.77,145.6,34.71
b92f3895,76.16,131.54,45.72
c42766b6,23.14,147.57,15.49
bd99172d,37.74,97.46,24.38
9b5164a2,71.85,143.65,40.32
662c72cf,65.23,48.99,25.35
2bdbaba2,49.34,143.66,5.81
702fc5e9,12.6,75.07,48.49
99122a7a,24.14,62.46,42.22
321d9e65,52.1,69.17,45.55
1d586add,82.1,49.4,12.89
f3cf0c74,63.01,51.84,8.54
be26ce29,13.83,147.8,20.72
f226d539,10.59,46.51,11.2
9f3b7dc7,49.97,121.68,25.01
06075c55,15.66,51.05,42.07
12464588,77.33,96.49,19.95
73d5e7c0,70.57,100.15,42.31
f48a4333,79.91,66.38,29.55
66c94911,11.55,143.37,28.4
8b6624dc,90.7,80.97,15.32
380f62f3,77.35,44.99,19.0
50dd30c7,41.09,49.44,37.92
01f527c9,25.83,66.58,14.61
100dcdf4,23.33,71.56,28.06
8e8d0c12,26.79,78.08,9.45
8442ebaf,11.14,46.98,12.05
d76df88d,63.3,84.95,19.91
a08aea2e,24.99,82.4,24.29
d495f39e,41.17,111.29,35.11
e600843a,53.98,62.75,35.9
aef1c670,95.25,96.46,7.42
61f7105d,78.87,40.99,21.78
49bc42b0,53.36,72.35,25.47
96e564ec,95.73,134.92,18.76
0825a77e,69.1,143.79,12.08
d571528f,77.67,121.75,13.48
31a56078,74.62,139.23,29.86
2c729c01,80.08,71.39,25.34
50e4acd1,63.54,149.84,37.81
31d76cec,11.55,102.8,18.5
57182fd6,50.31,46.21,17.68
1d22fb37,86.31,89.44,46.59
1524e743,56.36,135.13,29.32
